Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
18.07.2023;1,1237;1,1276;1,1208;1,1228;USD;0
19.07.2023;1,1228;1,1240;1,1174;1,1205;USD;0
20.07.2023;1,1205;1,1229;1,1117;1,1134;USD;0
21.07.2023;1,1134;1,1145;1,1108;1,1125;USD;0
23.07.2023;1,1130;1,1134;1,1123;1,1124;USD;0
24.07.2023;1,1124;1,1147;1,1060;1,1063;USD;0
25.07.2023;1,1063;1,1087;1,1021;1,1050;USD;0
26.07.2023;1,1050;1,1107;1,1038;1,1078;USD;0
27.07.2023;1,1078;1,1150;1,0964;1,0978;USD;0
28.07.2023;1,0978;1,1048;1,0943;1,1015;USD;0
30.07.2023;1,1022;1,1028;1,1015;1,1024;USD;0
31.07.2023;1,1024;1,1046;1,0992;1,0996;USD;0
01.08.2023;1,0996;1,1020;1,0951;1,1007;USD;0
02.08.2023;1,1008;1,1008;1,0917;1,0943;USD;0
03.08.2023;1,0943;1,0963;1,0911;1,0951;USD;0
04.08.2023;1,0951;1,1042;1,0934;1,1007;USD;0
06.08.2023;1,1011;1,1016;1,1001;1,1002;USD;0
07.08.2023;1,1002;1,1012;1,0964;1,1003;USD;0
08.08.2023;1,1003;1,1011;1,0928;1,0959;USD;0
09.08.2023;1,0959;1,0995;1,0954;1,0977;USD;0
10.08.2023;1,0975;1,1065;1,0966;1,0981;USD;0
11.08.2023;1,0982;1,1005;1,0942;1,0944;USD;0
13.08.2023;1,0956;1,0957;1,0940;1,0943;USD;0
14.08.2023;1,0943;1,0960;1,0875;1,0907;USD;0
15.08.2023;1,0908;1,0953;1,0897;1,0904;USD;0
16.08.2023;1,0904;1,0935;1,0871;1,0874;USD;0
17.08.2023;1,0874;1,0918;1,0856;1,0874;USD;0